Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-cham-soc-khach-hang-mb-bank-tai-dong-da-ha-noi-c1p73id200294720.html,Nhân Viên Chăm Sóc Khách Hàng Mb Bank Tại Đống Đa (Hà Nội),Công Ty Cổ Phần Truyền Thông Kim Cương,7 - 10 triệu,Hà Nội
https://vieclam24h.vn/xuat-nhap-khau/nhan-vien-chung-tu-xuat-nhap-khau-quoc-te-trong-nuoc-c15p122id200292698.html,"Nhân Viên Chứng Từ Xuất Nhập Khẩu (Quốc Tế, Trong Nước)",Công Ty TNHH N.N.B,10 - 15 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-luong-cung-10-trieu-c13p73id200294674.html,Nhân Viên Kinh Doanh (Lương Cứng 10 Triệu),Công Ty Cổ Phần Kỹ Thuật Sơn Phát,10 - 30 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-nguon-von-thu-quy-c17p118id200293828.html,Nhân Viên Kế Toán Nguồn Vốn / Thủ Quỹ,Công Ty TNHH Yantai Moon (Việt Nam),10 - 15 triệu,Tây Ninh
https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/cu-nhan-tai-chinh-ke-toan-c18p121id200293078.html,Cử Nhân Tài Chính - Kế Toán,Công Ty Nhiệt Điện Phú Mỹ - Cn Tổng Công Ty Phát Điện 3 – Công Ty Cổ Phần,10 - 20 triệu,Bà Rịa - Vũng Tàu
https://vieclam24h.vn/bien-phien-dich/nhan-vien-phien-dich-tieng-trung-tai-an-khanh-hoai-duc-c37p73id200283942.html,Nhân Viên Phiên Dịch Tiếng Trung Tại An Khánh - Hoài Đức,Công Ty TNHH Hiwin Hongkong,8 - 14 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-nhan-su-biet-tieng-trung-c1p122id200287513.html,Trợ Lý Nhân Sự (Biết Tiếng Trung),Công Ty TNHH Marketech,7 - 10 triệu,TP.HCM
https://vieclam24h.vn/xay-dung/nhan-vien-tro-ly-du-an-tro-ly-ky-thuat-xay-dung-c31p122id200293871.html,Nhân Viên Trợ Lý Dự Án / Trợ Lý Kỹ Thuật Xây Dựng,Công Ty TNHH Sản Xuất Kinh Doanh Hai Thành,18 - 20 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-dinh-duong-qua-dien-thoai-c13p122id200292885.html,Nhân Viên Tư Vấn Dinh Dưỡng Qua Điện Thoại,Công Ty TNHH Vietnam Concentrix Services,10 - 25 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thu-ky-du-an-c1p73id200295285.html,Thư Ký Dự Án,Công Ty TNHH Techcom Life Việt Nam,8 - 20 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/truong-nhom-tu-van-tham-my-c13p122id200288194.html,Trưởng Nhóm Tư Vấn Thẩm Mỹ,Công Ty Cổ Phần Bệnh Viện Phẫu Thuật Thẩm Mỹ Nam An,30 - 50 triệu,TP.HCM
https://vieclam24h.vn/giao-duc-dao-tao/quan-ly-trung-tam-c32p73id200295064.html,Quản Lý Trung Tâm,Công Ty Cổ Phần Giáo Dục Jaxtina,Thoả thuận ,"Hà Nội, TP.HCM"
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-bien-phien-dich-tieng-nhat-c1p119id200295162.html,Nhân Viên Biên Phiên Dịch Tiếng Nhật,Công Ty TNHH Nakashima Việt Nam,10 - 15 triệu,Bình Dương
https://vieclam24h.vn/nhan-su/nhan-vien-hanh-chinh-nhan-su-c22p122id200293708.html,Nhân Viên Hành Chính Nhân Sự,Công Ty Tnhh Thương Mại Điện Tử Mst,9 - 15 triệu,TP.HCM
