Khu vực tuyển,Thời gian thử việc,Cấp bậc,Yêu cầu giới tính,Số lượng tuyển,Hình thức làm việc,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Ngành nghề,Quy mô công ty,Loại công ty,Mức lương tối thiểu,Mức lương tối đa,Mức lương trung bình,Tuổi thấp nhất,Tuổi cao nhất,Tuổi trung bình
Hà Nội,2.0,Chuyên viên- nhân viên,Không yêu cầu,20,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Hành chính - Thư ký/Chăm sóc khách hàng/Ngân hàng,Trên 300 người,2,7.0,10.0,8.5,23.4,37.6,30.5
TP.HCM,1.0,Chuyên viên- nhân viên,Nữ,1,Toàn thời gian cố định,Đại học,2 năm,Xuất Nhập Khẩu/Hành chính - Thư ký/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,1,10.0,15.0,12.5,22.0,40.0,31.0
Hà Nội,1.0,Chuyên viên- nhân viên,Không yêu cầu,6,Toàn thời gian cố định,Không,Dưới 1 năm,Bán hàng - Kinh doanh/Hành chính - Thư ký/Điện - Điện tử - Điện lạnh,10 - 150 người,2,10.0,30.0,20.0,22.4,37.8,30.099999999999998
Tây Ninh,2.0,Chuyên viên- nhân viên,Nữ,2,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Kế toán/Hành chính - Thư ký/Sản xuất - Lắp ráp - Chế biến,10 - 150 người,1,10.0,15.0,12.5,22.0,30.0,26.0
Bà Rịa - Vũng Tàu,2.0,Chuyên viên- nhân viên,Không yêu cầu,1,Toàn thời gian cố định,Đại học,2 năm,Tài chính - Đầu tư - Chứng Khoán/Kế toán/Hành chính - Thư ký,Trên 300 người,2,10.0,20.0,15.0,22.0,35.0,28.5
Hà Nội,2.0,Chuyên viên- nhân viên,Không yêu cầu,1,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Biên phiên dịch/Bán hàng - Kinh doanh/Hành chính - Thư ký,150 - 300 người,1,8.0,14.0,11.0,23.0,42.0,32.5
TP.HCM,2.0,Chuyên viên- nhân viên,Nữ,3,Toàn thời gian cố định,Chứng chỉ,Chưa có kinh nghiệm,Hành chính - Thư ký/Biên phiên dịch/Nhân sự,10 - 150 người,1,7.0,10.0,8.5,23.2,42.0,32.6
TP.HCM,2.0,Chuyên viên- nhân viên,Nữ,2,Toàn thời gian cố định,Cao đẳng,Hơn 5 năm,Xây dựng/Bất động sản/Hành chính - Thư ký,150 - 300 người,1,18.0,20.0,19.0,25.0,40.0,32.5
TP.HCM,1.4,Chuyên viên- nhân viên,Không yêu cầu,40,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Hành chính - Thư ký,Trên 300 người,1,10.0,25.0,17.5,24.0,33.4,28.7
Hà Nội,2.0,Chuyên viên- nhân viên,Không yêu cầu,1,Toàn thời gian cố định,Đại học,1 năm,Hành chính - Thư ký/Quản lý dự án,Dưới 10 người,1,8.0,20.0,14.0,28.0,32.0,30.0
TP.HCM,1.8,Quản lý nhóm- giám sát,Nữ,1,Toàn thời gian cố định,Trung cấp,2 năm,Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe/Hành chính - Thư ký,150 - 300 người,2,30.0,50.0,40.0,25.0,30.0,27.5
Bình Dương,2.0,Chuyên viên- nhân viên,Nữ,1,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Biên phiên dịch/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,1,10.0,15.0,12.5,22.4,33.4,27.9
TP.HCM,1.4,Chuyên viên- nhân viên,Không yêu cầu,2,Toàn thời gian cố định,Cao đẳng,1 năm,Nhân sự/Hành chính - Thư ký,10 - 150 người,1,9.0,15.0,12.0,21.2,37.0,29.1
Hà Nội,2.0,Chuyên viên- nhân viên,Nữ,1,Toàn thời gian cố định,Cao đẳng,2 năm,Hành chính - Thư ký/Khoa học - Kỹ thuật/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,2,10.0,13.0,11.5,25.0,40.0,32.5
TP.HCM,1.8,Chuyên viên- nhân viên,Không yêu cầu,5,Toàn thời gian cố định,Cao đẳng,1 năm,Kế toán/Hành chính - Thư ký/Bán hàng - Kinh doanh,10 - 150 người,1,12.0,16.0,14.0,24.2,36.0,30.1
TP.HCM,1.6,Chuyên viên- nhân viên,Nam,5,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Thu mua - Kho Vận - Chuỗi cung ứng/Hành chính - Thư ký/Lao động phổ thông,10 - 150 người,2,8.199999,10.0,9.0999995,20.0,30.0,25.0
Ninh Bình,2.0,Chuyên viên- nhân viên,Không yêu cầu,3,Toàn thời gian cố định,Không,Dưới 1 năm,Quản lý tiêu chuẩn và chất lượng/Nhân sự/Hành chính - Thư ký,10 - 150 người,1,6.0,10.0,8.0,20.0,35.0,27.5
